ALOGPS_order,Compound_ID,SMILES,logP_exp,N_count,FM,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,ALOGPS_output_SMILES
62,CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,1.412,4,FM3,2.95,-3.92,-1.5380000000000003,1.5380000000000003,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5ccccc5
63,CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,1.63,4,FM3,3.66,-4.29,-2.0300000000000002,2.0300000000000002,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5cc(Br)ccc5
64,CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,1.58,4,FM3,3.65,-4.29,-2.07,2.07,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5ccc(Br)cc5
65,CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,0.826,4,FM3,2.87,-3.64,-2.044,2.044,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5c(O)cccc5
66,CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,0.645,4,FM3,2.89,-3.62,-2.245,2.245,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5ccc(O)cc5
67,CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,1.501,4,FM3,3.58,-4.22,-2.079,2.079,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5ccc(Cl)cc5
68,CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,1.806,4,FM3,3.2,-4.12,-1.3940000000000001,1.3940000000000001,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5ccc(C)cc5
69,CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,1.22,5,FM3,2.27,-3.46,-1.05,1.05,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4c5ccncc5
70,CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,1.421,4,FM3,3.57,-4.21,-2.149,2.149,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4COc5ccc(Cl)cc5
71,CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,1.471,4,FM3,4.19,-4.55,-2.7190000000000003,2.7190000000000003,O=C1Oc2c(cc(Br)cc2)C=C1C(CS3)=NN4C3=NNC4COc5c(Cl)cc(Cl)cc5
