Compound_ID,SMILES,logP_exp,N_count,FM,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP
CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,3.04,1,FM2,2.92,[2.14:3.7],1,0.581,0.646,0.1200000000000001,0.1200000000000001
CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,1.39,0,FM0,1.39,[1.36:1.42],1,0.998,0.886,0.0,0.0
CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,0.42,3,FM1,1.46,[-0.01:2.93],1,0.523,0.428,-1.04,1.04
CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,1.365,2,FM1,5.01,[4.28:5.74],1,0.459,0.529,-3.6449999999999996,3.6449999999999996
CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,0.9664,2,FM1,5.96,[5.38:6.54],1,0.429,0.543,-4.9936,4.9936
CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,1.67,0,FM0,1.68,[1.67:1.74],1,0.998,0.866,-0.010000000000000009,0.010000000000000009
CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,1.93,0,FM0,2.27,[1.93:2.63],1,0.558,0.678,-0.3400000000000001,0.3400000000000001
CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,2.0,0,FM0,1.93,[1.93:2],1,0.998,0.832,0.07000000000000006,0.07000000000000006
CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,3.14,0,FM4,3.14,[3.14:3.16],1,0.998,0.963,0.0,0.0
CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,1.412,4,FM3,3.07,[2.6:3.54],1,0.444,0.58,-1.658,1.658
CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,1.63,4,FM3,2.63,[1.14:4.12],1,0.422,0.352,-1.0,1.0
CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,1.58,4,FM3,2.62,[1.13:4.11],1,0.423,0.352,-1.04,1.04
CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,0.826,4,FM3,0.03,[-2.47:2.53],1,0.435,0.176,0.7959999999999999,0.7959999999999999
CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,0.645,4,FM3,0.56,[-2.15:3.27],1,0.434,0.155,0.08499999999999996,0.08499999999999996
CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,1.501,4,FM3,2.63,[1.15:4.11],1,0.441,0.36,-1.129,1.129
CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,1.806,4,FM3,2.63,[1.22:3.87],1,0.447,0.405,-0.8239999999999998,0.8239999999999998
CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,1.22,5,FM3,1.99,[-0.44:4.42],1,0.458,0.203,-0.77,0.77
CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,1.421,4,FM3,2.92,[1.36:4.14],1,0.459,0.356,-1.4989999999999999,1.4989999999999999
CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,1.471,4,FM3,2.33,[0.65:4.01],1,0.427,0.326,-0.859,0.859
CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,2.07,1,FM2,0.22,[-2.2:2.64],1,0.396,0.176,1.8499999999999999,1.8499999999999999
