Compound_ID,SMILES,logP_exp,N_count,N_group,FM,Data_Tier,Consensus,delta_Consensus,logP_range,logP_15,Coumarin_Type,RDKit_MolLogP,delta_RDKit_MolLogP,abs_delta_RDKit_MolLogP,RDKit_status,DataWarrior_cLogP,delta_DataWarrior_cLogP,abs_delta_DataWarrior_cLogP,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP,delta_SwissADME_Consensus,abs_delta_SwissADME_Consensus,flag_polar_logP_le_1,flag_N_1_3_logP_lt_1_5,flag_severe_consensus_abs_error,flag_FM4_exploratory_boundary
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,N≥4,FM3,STRICT-GOLD,0.66,-0.01,logP<1,logP<1.5,conjugated_coumarin,0.1642199999999993,0.4857800000000007,0.4857800000000007,OK,-1.1326,1.7826,1.7826,0.34,-2.26,0.31,0.31,1.51,[0.91:2.11],1,0.471,0.629,-0.86,0.86,-0.010000000000000009,0.010000000000000009,True,False,False,False
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,N≥4,FM3,STRICT-GOLD,2.61,-2.13,logP<1,logP<1.5,conjugated_coumarin,2.4706200000000003,-1.9906200000000003,1.9906200000000003,OK,1.2848,-0.8048,0.8048,2.58,-3.7,-2.1,2.1,2.24,[0.38:4.1],1,0.385,0.298,-1.7600000000000002,1.7600000000000002,-2.13,2.13,True,False,True,False
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,N≥4,FM3,STRICT-GOLD,3.02,-2.53,logP<1,logP<1.5,conjugated_coumarin,3.680620000000003,-3.1906200000000027,3.1906200000000027,OK,2.455,-1.965,1.965,3.09,-4.2,-2.5999999999999996,2.5999999999999996,3.34,[1.96:4.72],1,0.394,0.381,-2.8499999999999996,2.8499999999999996,-2.5300000000000002,2.5300000000000002,True,False,True,False
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,N≥4,FM3,STRICT-GOLD,4.42,-3.81,logP<1,logP<1.5,conjugated_coumarin,4.914300000000005,-4.304300000000005,4.304300000000005,OK,3.8306,-3.2206,3.2206,3.91,-4.57,-3.3000000000000003,3.3000000000000003,3.63,[1.96:5.26],1,0.398,0.329,-3.02,3.02,-3.81,3.81,True,False,True,False
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,N≥4,FM3,STRICT-GOLD,4.25,-3.67,logP<1,logP<1.5,conjugated_coumarin,4.918020000000003,-4.338020000000003,4.338020000000003,OK,4.11,-3.5300000000000002,3.5300000000000002,3.91,-5.1,-3.33,3.33,2.63,[0.46:4.8],1,0.401,0.235,-2.05,2.05,-3.67,3.67,True,False,True,False
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,N=2-3,FM2,STRICT-GOLD,3.22,-0.6400000000000001,logP 2-3,logP 1.5-3.0,amidoxime,3.694300000000002,-1.1143000000000018,1.1143000000000018,OK,3.0024,-0.4224000000000001,0.4224000000000001,3.58,-4.28,-1.0,1.0,2.07,[-0.08:4.01],1,0.612,0.341,0.5100000000000002,0.5100000000000002,-0.6400000000000001,0.6400000000000001,False,False,False,False
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,N=2-3,FM2,STRICT-GOLD,3.59,-0.6999999999999997,logP 2-3,logP 1.5-3.0,amidoxime,4.002720000000002,-1.1127200000000017,1.1127200000000017,OK,3.3463,-0.4562999999999997,0.4562999999999997,3.85,-4.54,-0.96,0.96,2.59,[0.84:4.01],1,0.585,0.399,0.30000000000000027,0.30000000000000027,-0.6999999999999997,0.6999999999999997,False,False,False,False
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,N=2-3,FM2,STRICT-GOLD,3.35,-0.5700000000000003,logP 2-3,logP 1.5-3.0,amidoxime,3.504500000000002,-0.7245000000000021,0.7245000000000021,OK,2.8494,-0.06940000000000035,0.06940000000000035,3.29,-4.12,-0.5100000000000002,0.5100000000000002,1.88,[-0.09:3.85],1,0.537,0.296,0.8999999999999999,0.8999999999999999,-0.5700000000000003,0.5700000000000003,False,False,False,False
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,N=1,FM1,STRICT-GOLD,1.9,-1.68,logP<1,logP<1.5,amidoxime (hydroxyimino-alkyl),2.0071,-1.7871,1.7871,OK,1.5454,-1.3254000000000001,1.3254000000000001,1.69,-3.1,-1.47,1.47,2.06,[1.61:2.51],1,0.596,0.697,-1.84,1.84,-1.68,1.68,True,True,False,False
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,N=2-3,FM1,STRICT-GOLD,1.36,-0.3600000000000001,logP<1,logP<1.5,amidoxime (O-acetyl),0.9764000000000002,0.023599999999999843,0.023599999999999843,OK,0.7829,0.21709999999999996,0.21709999999999996,1.13,-3.12,-0.1299999999999999,0.1299999999999999,-0.36,[-1.45:0.73],1,0.549,0.476,1.3599999999999999,1.3599999999999999,-0.3600000000000001,0.3600000000000001,True,True,False,False
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,N=2-3,FM2,STRICT-GOLD,2.96,0.6699999999999999,logP>3,logP>3.0,hydrazone,3.2390000000000008,0.3909999999999991,0.3909999999999991,OK,3.6846,-0.054600000000000204,0.054600000000000204,3.67,-4.09,-0.040000000000000036,0.040000000000000036,2.51,[1.5:3.52],1,0.579,0.503,1.12,1.12,0.6699999999999999,0.6699999999999999,False,False,False,False
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,N=2-3,FM2,STRICT-GOLD,1.78,0.1699999999999999,logP 1-2,logP 1.5-3.0,oxadiazole,1.843,0.10699999999999998,0.10699999999999998,OK,1.1716,0.7784,0.7784,1.95,-2.22,0.0,0.0,1.33,[0.5:2.1],1,0.557,0.565,0.6199999999999999,0.6199999999999999,0.16999999999999993,0.16999999999999993,False,False,False,False
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,N=2-3,FM2,STRICT-GOLD,2.15,-0.0299999999999998,logP 2-3,logP 1.5-3.0,oxadiazole,2.15142,-0.03141999999999978,0.03141999999999978,OK,1.405,0.7150000000000001,0.7150000000000001,2.32,-2.58,-0.19999999999999973,0.19999999999999973,1.97,[0.65:3.29],1,0.566,0.483,0.15000000000000013,0.15000000000000013,-0.029999999999999805,0.029999999999999805,False,False,False,False
