Sangster_ID,Name,CASRN,SMILES,logP_exp,Canonical_SMILES,InChIKey,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,aromatic_coumarin_core,four_hydroxycoumarin_like,strict_coumarin_any,name_contains_coumarin,coumarin_candidate_any,overlap_exact_inchikey_with_95,overlap_first_block_with_95
R38333883,"2H-Thieno[3,2-g]-1-benzopyran-2-one, 4,6,7-trimethyl-",214536-98-8,CC1=C(C)C2=CC3=C(OC(=O)C=C3C)C=C2S1,3.48,Cc1sc2cc3oc(=O)cc(C)c3cc2c1C,XYPRBCNGODSLKJ-UHFFFAOYSA-N,C14H12O2S,XYPRBCNGODSLKJ,True,False,True,False,True,True,True,False,False
R38333884,"2H-Thieno[2,3-h]benzofuran-2-one, 4,8,9-trimethyl-",213967-52-3,CC1=C(C)C2=C3OC(=O)C=C(C)C3=CC=C2S1,3.65,Cc1sc2ccc3c(C)cc(=O)oc3c2c1C,RVAZWMGONPBJFK-UHFFFAOYSA-N,C14H12O2S,RVAZWMGONPBJFK,True,False,True,False,True,False,True,False,False
R38333893,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,6,9-trimethyl-",15912-93-3,CC1=C2OC=CC2=CC2=C1OC(=O)C(C)=C2C,3.25,Cc1c(C)c2cc3ccoc3c(C)c2oc1=O,OBBNHWAIDHAZOZ-UHFFFAOYSA-N,C14H12O3,OBBNHWAIDHAZOZ,True,False,True,False,True,False,True,False,False
R38333894,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5,9-trimethyl-",15294-25-4,CC1=COC2=C(C)C3=C(C=C12)C(C)=CC(=O)O3,3.25,Cc1coc2c(C)c3oc(=O)cc(C)c3cc12,JQJZXIAXWYFOJQ-UHFFFAOYSA-N,C14H12O3,JQJZXIAXWYFOJQ,True,False,True,False,True,False,True,False,False
R38333895,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3,5-trimethyl-",13008-11-2,CC1=C(C)C2=CC3=C(OC(=O)C=C3C)C=C2O1,3.22,Cc1oc2cc3oc(=O)cc(C)c3cc2c1C,KKDGKMBVFICGHW-UHFFFAOYSA-N,C14H12O3,KKDGKMBVFICGHW,True,False,True,False,True,False,True,False,False
R38333896,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3,4-trimethyl-",362518-96-5,CC1=C(C)C2=C(C)C3=C(OC(=O)C=C3)C=C2O1,3.27,Cc1oc2cc3oc(=O)ccc3c(C)c2c1C,JLAXMAYZMOLLHI-UHFFFAOYSA-N,C14H12O3,JLAXMAYZMOLLHI,True,False,True,False,True,False,True,False,False
R38333897,"5-Benzofuranacrylic acid, 6-hydroxy-3,4,7-trimethyl-, delta-lactone",2273-88-3,CC1=COC2=C(C)C3=C(C=CC(=O)O3)C(C)=C12,3.35,Cc1c2oc(=O)ccc2c(C)c2c(C)coc12,LDCKHPCOLYHPCO-UHFFFAOYSA-N,C14H12O3,LDCKHPCOLYHPCO,True,False,True,False,True,False,True,False,False
R38333898,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,8,9-trimethyl-",112308-10-8,CC1=C(C)C2=C3OC(=O)C=CC3=CC(C)=C2O1,3.34,Cc1oc2c(C)cc3ccc(=O)oc3c2c1C,QDAPMZLOJQVWSW-UHFFFAOYSA-N,C14H12O3,QDAPMZLOJQVWSW,True,False,True,False,True,True,True,False,False
R38333899,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,5,8-trimethyl-",,CC1=CC2=C3OC(=O)C=C(C)C3=C(C)C=C2O1,3.36,Cc1cc2c(cc(C)c3c(C)cc(=O)oc32)o1,AKIMXGRHNFPHST-UHFFFAOYSA-N,C14H12O3,AKIMXGRHNFPHST,True,False,True,False,True,True,True,False,False
R38333900,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,6,8-trimethyl-",90370-13-1,CC1=CC2=C(O1)C(C)=C(C)C1=C2OC(=O)C=C1,3.26,Cc1cc2c(o1)c(C)c(C)c1ccc(=O)oc12,SQECVKHKIHDURX-UHFFFAOYSA-N,C14H12O3,SQECVKHKIHDURX,True,False,True,False,True,True,True,False,False
R38333901,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,6,8-trimethyl-",90370-12-0,CC1=CC2=C(O1)C(C)=CC1=C2OC(=O)C=C1C,3.15,Cc1cc2c(o1)c(C)cc1c(C)cc(=O)oc12,QZOAPTQNJLZENV-UHFFFAOYSA-N,C14H12O3,QZOAPTQNJLZENV,True,False,True,False,True,True,True,False,False
R38333902,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4,8-trimethyl-",15798-79-5,CC1=CC2=C(O1)C=CC1=C2OC(=O)C(C)=C1C,3.27,Cc1cc2c(ccc3c(C)c(C)c(=O)oc32)o1,BQDWBWGFNVYGCP-UHFFFAOYSA-N,C14H12O3,BQDWBWGFNVYGCP,True,False,True,False,True,True,True,False,False
R38333903,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4,9-trimethyl-",91666-93-2,CC1=COC2=CC=C3C(C)=C(C)C(=O)OC3=C12,3.25,Cc1c(C)c2ccc3occ(C)c3c2oc1=O,VUJLCSIVBLQJDL-UHFFFAOYSA-N,C14H12O3,VUJLCSIVBLQJDL,True,False,True,False,True,True,True,False,False
R38333904,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4,6-trimethyl-",362518-98-7,CC1=C2OC=CC2=C2OC(=O)C(C)=C(C)C2=C1,3.23,Cc1c(C)c2cc(C)c3occc3c2oc1=O,YOLKZURXZVDPOZ-UHFFFAOYSA-N,C14H12O3,YOLKZURXZVDPOZ,True,False,True,False,True,True,True,False,False
R38333906,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,8,9-trimethyl-",10337-83-4,CC1=C(C)C2=C3OC(=O)C=C(C)C3=CC=C2O1,3.28,Cc1oc2ccc3c(C)cc(=O)oc3c2c1C,WSZHMTCJRBHJMN-UHFFFAOYSA-N,C14H12O3,WSZHMTCJRBHJMN,True,False,True,False,True,True,True,False,False
R38333908,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,6,9-trimethyl-",90370-29-9,CC1=COC2=C(C)C=C3C(C)=CC(=O)OC3=C12,3.23,Cc1cc(=O)oc2c1cc(C)c1occ(C)c12,ZARUKNQGJBWWBA-UHFFFAOYSA-N,C14H12O3,ZARUKNQGJBWWBA,True,False,True,False,True,True,True,False,False
R38333909,"7H-Furo[2,3-f][1]benzopyran-7-one, 3,4,9-trimethyl-",76591-80-5,CC1=COC2=C1C(C)=CC1=C2C(C)=CC(=O)O1,3.28,Cc1coc2c1c(C)cc1oc(=O)cc(C)c12,YTECQPJHHAHABZ-UHFFFAOYSA-N,C14H12O3,YTECQPJHHAHABZ,True,False,True,False,True,False,True,False,False
R38333910,"7H-Furo[2,3-f][1]benzopyran-7-one, 2,4,9-trimethyl-",33158-05-3,CC1=CC2=C(C)C=C3OC(=O)C=C(C)C3=C2O1,3.25,Cc1cc2c(C)cc3oc(=O)cc(C)c3c2o1,IZLPACMKANNNGR-UHFFFAOYSA-N,C14H12O3,IZLPACMKANNNGR,True,False,True,False,True,False,True,False,False
