Compound_ID,SMILES,FM,N_count,logP_exp,Consensus,delta_Consensus,Spread4,Coumarin_Type,Structural_Class,overestimated,severe_overestimation,severe_error_abs_ge_2,A1_high_spread4,A2_high_consensus,A3_high_spread4_and_high_consensus,A4_n_bearing_high_spread4_high_consensus,A5_n_bearing_conjugated_high_spread4_or_high_consensus,A6_n_1_3_conjugated_high_spread4_or_high_consensus,A7_n_ge_4_mixed_highN_provisional,A8_n_free_pi_extended_boundary,A9_lower_concern_screen
CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,FM3,4,2.65,2.27,0.3799999999999999,1.07,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,FM2,3,2.38,2.72,-0.3400000000000003,0.3500000000000001,conjugated_coumarin,,True,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,FM2,3,2.65,2.41,0.2399999999999997,1.04,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,FM3,4,2.41,1.98,0.4300000000000001,1.77,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,FM2,3,2.61,2.36,0.25,0.74,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,FM2,3,2.64,2.7,-0.06,1.0700000000000003,conjugated_coumarin,,True,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,FM1,1,1.498,3.0,-1.502,2.7800000000000002,conjugated_coumarin,,True,False,False,True,False,False,False,True,True,False,False,False
CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,FM2,1,1.503,3.0,-1.497,2.5,conjugated_coumarin,,True,False,False,True,False,False,False,True,True,False,False,False
CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,FM2,1,2.152,3.0,-0.8479999999999999,2.5,conjugated_coumarin,,True,False,False,True,False,False,False,True,True,False,False,False
CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,FM2,1,1.718,3.92,-2.202,3.2,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,FM2,1,1.779,3.93,-2.151,2.91,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,FM2,1,2.288,3.97,-1.6820000000000004,2.91,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,FM1,1,1.295,2.71,-1.415,2.63,conjugated_coumarin,,True,False,False,True,False,False,False,True,True,False,False,False
CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,FM2,1,2.454,2.74,-0.286,2.36,conjugated_coumarin,,True,False,False,True,False,False,False,True,True,False,False,False
CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,FM1,1,1.443,2.75,-1.307,2.36,conjugated_coumarin,,True,False,False,True,False,False,False,True,True,False,False,False
